Task 1 i,Task 1 m,Task 2 i,Task 2 m,Task 3 i,Task 3 m,Task 4 i,Task 4 m,Task 6 i,Task 6 m,Task 7 i,Task 7 m,Task 8 i,Task 8 m,Task 9 i,Task 9 m,Task 11 i,Task 11 m,Task 12 i,Task 12 m,Task 13 i,Task 13 m,Task 14 i,Task 14 m,Task 16 i,Task 16 m,Task 17 i,Task 17 m,Task 18 i,Task 18 m,Task 19 i,Task 19 m,Task 20 i,Task 20 m
go to the green circle in the upper right corner,go to the green key and go to the green key,pick up the red circle next to the red key then go to the yellow rectangles in the bottom left corner and stop before the red dot that will appear there,"go to a red key, then put the red ball next to a yellow box after you go to the red ball",go through the rooms until you find the red rectangles,"go to a red door, then go to a purple door after you go to the red box",go to the purple key,go to the purple key,pick up the green rectangles then place them down in front of the greet circle,"go to the green ball, then go to a green box and put a green box next to the green ball",go around the red rectangle and stop in front of the gray dot next to the yellow dot,go to the yellow ball and go to a red ball,go through the rooms until you find the red circle,"go to a red door, then go to a purple door after you go to the red box",search the rooms until you find a gray key in the same room as a blue key,"go to a blue key, then go to a grey key after you go to a blue door",pick up the blue key place it in the same spot then move through rooms until you find a green key pick up the green key then go to the room with a blue and green circle stop between the blue circle and the purple rectangles,"pick up a blue key, then pick up a green key after you go to the purple box",search through the rooms in a counter clockwise manner until you find the yellow rectangles pick them up then start to head back the way you came until you go through two doors stop,"open a yellow door, then go to a green door after you go to the yellow key and go to the grey door",move through the rooms open doors and move any obstacles out of the way,"go to a red door, then open the red door, then go to the blue door",pick up the yellow rectangles then put them down in the same place go to the red door then open it,"open the red door, then go to the yellow box, then pick up a yellow box",go through the red door pick up the blue circle then place in the room you just left move down until you find the purple circle,"go to a purple door, then go to a blue door after you go to a red key",go to the room with one red circle and gray rectangles pick up the gray rectangles search through the rest of the rooms until you find the green key,"pick up a green key, then go to the purple key and go to a grey door after you go to the green box",go through the rooms until you find the gray circle in front of the open door move the gray circle then find the blue key place the blue key in front of the yellow rectangles find the red rectangles and pick it up continue to move back the way you came,"open a red door, then go to a blue key after you go to the red door",leave the room with the green rectangles and yellow key via the blue door find the green rectangles in the next room and pick it up,"pick up the green key after you go to the yellow door, then go to the green box and go to the blue door",go through red doors until you find the red rectangles pick them up then put them down again go through more rooms until you find the one with a gray circle stop in front of the gray circle,"go to a grey door, then go to a red box and go to a green box after you go to a purple door"
go to the green ball,go to the green ball,grab the red ball and bring it to the yellow box,go to the red box and pick up a yellow ball,open 4 doors and go to the red box,open the blue door and open a purple door and go to a red box,get the purple key,go to the purple key,pick up the green chest and bring it over to the green ball,open the green door and go to the green ball,go to the grey ball that is next to the yellow ball,go to a grey ball and go to the yellow ball,go though doors and find the red ball,"go to a red door, then pick up the red box after you open a red door",go through doors and find the grey key,"open a grey door, then go to a grey key",find and pick up the green key,go to a green key and pick up a green key,find the yellow box and bring it to the purple key,go to a purple key and go to the yellow box,move the purple ball to enter the first room then move the yellow ball to enter the yellow room,"open a yellow door and go to a purple ball, then go to the purple ball",pick up the yellow box then set it back down in the same spot,pick up a yellow box and put a yellow box next to a grey ball after you go to a yellow box,go through the red door by moving the blue ball behind you,go to the red ball after you go to the blue door,pick up the first grey box that you see and bring it to the green key,pick up the grey box and put the grey box next to a green key,move the grey ball from the blue door than grab the blue key and bring it to the yellow box then finish it up by going and grabbing the red box,put the red box next to a blue door after you put the blue key next to a yellow box and go to the grey ball,go grab the green box,pick up a green box,pick up the red box and put it right back then go through the purple door to the grey ball,"pick up the red box, then open a purple door and go to the grey ball"
move to the green ball and face it,go to the green ball,pick up the red ball and place it in front of the yellow box,"pick up a red ball, then put the red ball next to a yellow box",find the red box,go to the red box,find the purple key,go to a purple key,pick up the green box and place it next to the green ball,pick up a green box and put the green box next to the green ball,move next to a grey ball,pick up a grey ball,find the red ball,go to the red ball,find the grey key,go to the grey key,pick up the green key,pick up a green key,pick up the yellow box,pick up the yellow box,search every room,"go to a red box, then pick up the red box, then go to the blue door",move to the red door,go to a red door,move to the purple ball,go to a purple ball,find the green key,go to the green key,move the blue key next to the yellow box and pick up the red box,put a blue key next to a yellow box and pick up the red box,take the green box through the yellow door,open the yellow door and go to a green box,find the grey ball,pick up a grey ball
find the green ball ,go to the green ball,pick up the red ball and put it in front of the yellow door ,open the yellow door and go to the yellow door and go to a red ball,find a red box ,go to a red box,find the purple key ,go to a purple key,put the green box next to the green ball ,put the green box next to a green ball,find the gray ball thats next to the yellow ball ,"go to the yellow ball and go to a yellow ball, then go to the grey ball",find a red ball ,go to a red ball,find a gray ball and gray key ,go to a grey door and go to a green ball and go to a blue key,find all the green objects ,"go to a green box, then go to a green box",pick up the yellow box and bring it to the gray ball ,"go to a yellow box, then pick up the yellow box and put a yellow box next to the grey ball",unblock all the doors ,"go to a green door and open a green door, then go to a blue door",pick up and put down the yellow box ,pick up the yellow box,find a blue door ,go to a blue door,find the green key ,go to the green key,pick up the red box ,pick up a red box,open the green door ,open the green door,find a gray ball ,go to a grey ball and go to a green ball and pick up a yellow ball
go to the green circle,go to the green box,pick up the red circle and place it above the yellow box,go to a yellow box and pick up the red box,navigate the maze and go to the red box on the left side,"pick up a red box, then go to the red key and go to a green box",go to the purple key,go to the purple key,pick up the green box and place it above the green circle,pick up a green box and put the green box next to the green ball,go to the grey circle on the upper right side of the grid,go to the red key and go to the grey key,go to the red circle on the right side of the grid,go to a red key and go to the green key,go to the grey key in the top middle portion of the grid,go to the grey key and go to the grey key,pick up and drop the blue key in the same spot then pick up the green key and head to the space above the purple box in the lower left,"pick up the blue key and go to a purple box, then pick up a green key",pick up and drop the green key in the same space then go pick up the yellow box in the top right portion of the grid finally head to the space above the grey ball in the top left,"pick up a green key and go to a green box, then put the yellow box next to the grey ball",go pick up the purple ball on the right side and place it in the middle room then pick up the yellow ball in the bottom middle room and place it to the right,"go to a purple ball, then pick up a purple ball, then go to a red box",pick up the yellow box in the first room and place it back down then go to the space above the red door,"go to a red door, then pick up a yellow box after you go to the yellow box",open the red door and place the blue ball in the top middle room then go to the space next to the purple ball,"go to the blue ball, then open the purple door and go to the red box",go through the purple door and pick up the gray box then  go to the top right room finally go to the bottom left room and stop to the left of the second gray box,"go to the purple door, then go to a blue door, then pick up the red box",go to the bottom left room place the gray ball in the bottom middle room pick up the blue key and place it under the yellow box go to the bottom right room and pick up the red box go back to the bottom middle room and stop in the top right corner,"go to a purple box and go to a blue ball after you go to a red key, then put a green key next to a grey box",go to the middle right room and pick up the green box,go to a green box and pick up the green box,go to the bottom right room pick up the red box and place it back down then go to the middle left room and stop to the right of the gray ball,"go to a red ball, then go to a red box, then put the grey box next to a green key"
 find the green dot,go to the green box,collect red circle and place it infront of the yellow box without touching any other objects,pick up the purple ball and go to a red box and go to the yellow ball,find red box on the left side of the map,"go to the red box, then pick up a red box",locate purple key,go to a purple key,collect green box and place it on the cell just above the green dot,go to the green box and pick up the green box,locate grey circle that is close to an yellow circle,"go to a yellow ball, then go to a grey ball",locate red circle in any of the rooms without touching any other objects,"open a red door after you go to a red key, then go to the purple door",locate grey key,go to the grey key,collect green key,pick up a green key,collect an yellow box from any of the rooms,"go to the yellow box, then pick up a yellow box",search rooms for any objects blocking the door and move it to a different place if found any,"go to a red door after you go to a red door, then go to a blue door",unlock yellow door,go to a yellow key and open the yellow door,locate blue balls blocking any doors and move it to a different location if found any,pick up a blue ball after you go to a blue ball after you go to a red door,collect grey box,pick up a grey box,move any balls blocking any doors to a different location and collect red box,"pick up a red ball after you go to the red key, then put a red ball next to the yellow box",collect green box from the middle right room and goto the green door of the same room,open a green door and go to the green door and go to a green box,unlock bottom right room and then find a grey ball,"open a red door and go to a grey key, then pick up the grey ball"
move to the green circle in the corner,go to a green ball and go to the green ball,move the red circle to the yellow box,go to the red ball and go to a yellow box,find the first red box,pick up a red box,find the purple key,go to a purple key,put the green box next to the green ball,put the green box next to a green ball,point to the gray ball,go to a yellow ball and go to the yellow ball and go to a grey ball,find the red ball,go to the red ball,find the gray key,go to a grey key,find the two gray boxes,"go to a green box and go to the yellow box, then pick up a yellow box",move the gray box to the gray ball,open the blue door and go to a green box and go to a grey ball,move the balls away from the doorways,go to a green ball after you go to a red door,pick up the yellow box and set it back down,pick up the yellow box,move the balls out of the doorways,"go to a red ball, then go to a red ball and open a blue door",move the gray boxes next to each other,"go to a grey box, then pick up a grey box, then go to a yellow box",find the gray box,pick up a grey box,pick up the green box,pick up a green box,pick up the gray box and set it back down,pick up the grey box and go to the yellow box and go to a grey box
an arrow moved around a blue object and moved two grid spaces to a green object,"go to the blue ball, then go to the green ball",a robot picked up a red key and used to unlock a red door and moved through the red door,"go to a red door, then open the red door and go to a red key",a robot maneuvers to a door from room 1 to room 2 and then moves through a door from room 2 to room 3 and then goes through another door to room 4 and then through another door from room 4 to room 5,"pick up the purple ball, then open a green door, then go to a yellow ball", robot maneuvers through a room to a purple key,"open a purple door, then pick up a green key and go to a purple box",a robot moves through the room to a green object which it picks up,"go to a green ball, then open a green door, then pick up a yellow ball",the robot moves around objects to a tan door,"go to a yellow door, then go to the yellow ball, then go to a yellow door",a robot moves thru doors from rooms 1 to 4 moving thru each room to the door and then back from room 4 to room 3 to a door to room 5 and then through a dorr to room 6,"pick up a purple ball, then open a green door, then go to a red box",a robot goes through a door from 1 room to another and then returns through the door back to the original room and then through a different door to another room,"go to a green ball, then go to a yellow ball and open a yellow door",a robot moves from 1 room to the next and then backtracks moving through a door backtracking again through 2 doors to another room through a door to another room through a door and then through a door to another room and picks up a green key and goes through another door to a last room,"open a yellow door, then pick up the green key, then go to a green box and go to a blue door",a robot goes from a room through a door and then back tracks through a door to another room and goes through a diffenent door to another room and then though a different door into another room  picks up a yellow object and then goes back through the door to the previous room and the baqck thru another door to another room,"open a yellow door, then go to a red ball and go to the grey ball after you go to the yellow key and go to a grey door",a robot moves thru a door into a room and backtracks back thru the door to the original room and then throu a door into a room where it goes thru a different door to another room backtracks to a room and thru a different door to a room thru another different door into a room where it moves a yellow ball from 1 grid mark to the next,"go to the green ball and open a yellow door, then go to the red ball",a robot moves thru a room and passes thru a door to a room south of it,"open a green door, then pick up the yellow ball and go to a yellow door",a robot moves around a room to a red door and back and forth thru the door to another room where it stops,"go to a red door, then open the red door after you go to a red key",a robot moves thru a door in 1 room to the next where it picks up a tan object and then thru a door to another room thru a different door to another room thru a different door to another room back and forth thru a different door backtracks to a door to a different room through another door to a room and then thru a door to a different room,"go to the yellow key and go to the grey door, then go to a green ball, then open a yellow door",a robot moves thru a door into a room thru another door into a room thru a door to a room back and forth thru a door and thru a room where it picks up a tan ball and then leaves that room blue keyand then back thru another door to a new room to a door where it picks up a  tan object and back thru the door,"pick up a blue key, then go to a grey ball and open a grey door",a robot moves from one room to the next picks up a green object ,"go to a green ball, then go to a green ball, then go to a yellow door",a robot goes thru a red door to another room where it passes thry a different red door goes back and forth thru a door and then bakc to the first red door where it passes back to the room,"go to a red door and open a red door, then go to the red door"
moves to green ball,go to a green ball,moves to red ball and relocates it,go to a red ball,moves through 3 doors to red boc,open a red door,moves up and over to blue key,pick up the blue key and go to the blue key,moves green block down,"go to a green ball, then go to a green ball",stops at grey circle,go to the grey key and go to the grey key,stops at red circle,go to the red box and go to a red box,goes to gray key,go to a grey key,finds the grey bottom block,go to a grey box,moves through the door to the blue key,go to the blue door and pick up the blue key,moves the yellow ball up and over,go to the yellow ball,goes under the blue ball ,go to a blue ball,goes to right of blue ball,go to the blue ball,moves through bottom door towards green key,"go to a green door, then go to the green key",moves in the general direction of grey ball,go to a grey ball,moves towards the green door,go to a green door,the arrow moves through the door to the grey circle ,"go to a red door and open a grey door, then go to the grey key"
the robot goes to the green ball ,go to a green ball and go to the green door and go to a green ball,the robot put the red ball next to the yellow door,go to a yellow door and go to a yellow door and go to a red ball,the robot went to the red door ,go to a red door and go to the red door,the robot went to the purple key,go to the purple ball and go to a yellow key and go to a purple door,the robot places the green door next to the green ball ,go to a green door and go to a green ball and go to a green door,the robot goes to the gray ball ,go to a grey door and go to a green ball and go to a yellow ball,the robot goes to the red key ,pick up the red box and go to a red key,the robot goes to the gray key ,go to the green box and go to a grey door and go to a grey key,the robot stops between the purple door and the blue ball,go to the purple ball and go to a purple door and go to the yellow ball,the robot stops just before the grey ball ,pick up a grey ball and go to a yellow box after you go to a grey ball,the rpbot stops next to the yellow door,go to the yellow door and go to the yellow key and go to a yellow door,the robot stops between the red door and purple ball ,go to a purple door and go to a red ball,the robot stops next to the purple ball ,go to a purple box and go to the yellow ball and go to a purple door,the robot stops just before the yellow key ,go to the yellow ball after you open the yellow door and go to a yellow key,the robot stopped in the corner of the room ,go to a red door and put the yellow box next to a grey ball,the robot stops just before the green door,go to the green box after you open a green door and go to a green door,the robot stopped just before the gray ball ,pick up a yellow ball after you open the green door after you go to a grey ball
picked up the green ball,go to the green ball,picked up the red ball,pick up the red ball,picked up the red box,pick up a red box,picked up the purple key,go to a purple key,picks up green box,pick up a green box,picks up grey ball,pick up a grey ball,picks up red ball,pick up the red ball,picks up grey key,go to the grey key,goes to blue door,go to a blue door,goes to get grey ball or key,go to a grey ball and go to a grey key,moves yellow ball,go to a yellow ball,goes to grey ball,go to a grey ball,goes to purple ball,go to a purple ball,goes to green key,go to the green key,gets red door,go to the red door,picks up green door,open a green door,goes to grey ball,go to a grey ball
red triangle moves right to end of screen turns left,"go to a red key, then go to the red ball",red triangle goes left turns left goes forward rotates and goes left,go to a green ball and go to the red ball,the red triangle rotates and moves left through various areas in ends at the left of the screen,"go to a red key, then go to the red ball",triangle moves upwards two blocks and turns left towards the circle and stops,"pick up the green key and go to a green key, then go to a green key",red triangle moves up rotates left moves up rotates left goes to the end door and rotates returning to the starting point,"open a red door, then go to the green ball, then go to the green door",red triangle rotates left rotates right moves upward and stops,go to a red key and go to the green key,red triangle moves down rotates moves through the door moves right goes through door to the middle rotates right and rotates left ,"go to a red door, then go to the red key, then go to the red key",red triangle rotates left goes through the door rotates returns through the door rotates left and exists through door on left ,"open a red door, then go to the red key and go to a red door",red triangle rotates goes through blue key goes left rotates moves upward returns through the exit and goes to the middle room goes up through the door rotates right and goes through another door it rotates once more and returns through the door it just left returning to the middle and rotating through door on the right moves downward and through another door,"open a red door, then go to the red key, then go to the blue door",red triangle grabs green key moves through door rotates right moves back through the door and moves upward towards another door rotates right and goes through another door turns left towards blue key rotates right and goes through door to farthest right door,"pick up a green key, then go to a red door, then open a red door",triangle rotates moves upwards goes through door and returns through door than goes right towards another door and upward towards another door and to upward most room rotating around to southern most room rotating left to another room,"go to a red door, then open a red door, then go to a blue door",rotate right and than left go through door,"go to a red door, then go to the green ball, then go to a green door",rotate left turn right rotate left go through the door reenter and rotate left to exit again rotate left go through door,"go to the red door and go to a green ball, then open a green door",triangle goes through door on the left rotates and goes through southern door rotates to the right and goes toward middle door rotating around purple circle rotates right goes through another door moving towards right towards another door returns through middle door rotates left goes through door and exits through door on the left to go to bottom room,"open a green door, then go to a purple ball and go to a purple door, then go to a green door",move south through the door and than left through middle door and move down through another door rotate left through bottom door and back to the middle room rotate right through the room grab red box and return,"go to a red door, then pick up the red box and go to a blue door",rotate red triangle move towards room beneath move around room and turn left,"go to a red key, then go to a red key",move around the center room move to the right and move around red key to bottom room and return to the same room moving upwards toward room on top than left towards left room and return moving south and than left towards middle room keep going left to adjacent room,"go to the red key, then go to a green door, then go to a blue door"
the robot goes to the green circle and turns to look at it,go to a green ball and go to a green box and go to a green door,the robot places the red ball by the yellow object in the bottom left,go to a red ball and go to the yellow box,the robot goes through a purple door and stands next to the red object on the left,go to the red ball and open a purple door and go to the purple ball,the robot goes up to the purple key and looks at it,"go to the purple ball and go to the purple door and pick up the green key, then go to a purple box",the robot puts the green box next to the green ball,put the green box next to a green ball,the robot moves to the other side of the red box,"go to a red ball, then go to a green door, then go to a yellow box",the robot goes through a door and stands next to the red and grey circles,go to the red ball and open a grey door,the robot travels to the grey key and stands next to it,go to a grey door and go to a grey key and put a yellow box next to the grey ball,the robot picks up a green key and goes over to the blue ball,go to the green door and pick up the green key and go to a blue ball,the robot picks up the yellow box and travels to the top left,pick up the green key and go to the red door and pick up a yellow box,the robot picks up a yellow ball and places it diagonally to where it was,"go to the yellow ball and pick up a yellow ball, then go to a yellow door",the robot stood between a red door and purple ball,go to a purple door and go to a red ball,the robot placed a blue ball on the opposite side of the door and then traveled downwards,"go to a yellow door and go to the green box and go to a blue door, then go to a blue ball",the robot traveled to the bottom left square and stood next to a grey box,go to the grey door and put the yellow box next to a grey ball,the robot moved a blue key on the bottom left and then picked up the red box on the bottom right,"go to a red key, then go to a green box and go to a blue door, then go to the blue ball",the robot picked up the green box and headed towards the green door,open a green door and pick up the green key and go to a green box,the robot picked up a red box and put it back before heading to the left side,"go to a red door, then pick up the red box, then go to the red key"
go to the green ball,go to the green ball,bring the red ball to the yellow box,go to the red ball and go to a yellow box,go to the red box in the west room,go to the red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to the nearest grey ball,go to a grey ball,find the red ball and go to it,go to a red ball and pick up a red ball,find the grey key and go to it,open the grey door and go to the grey key,find the green key and take it,pick up the green key and go to the green key,bring the yellow box to the northwest room,go to a yellow door and go to the yellow box,unblock the yellow door,go to a yellow door,go to the red door,go to the red door,find the purple ball and go to it,go to a purple ball and pick up the purple ball,find the green key and go to it,pick up the green key and go to the green key,take the red box,go to the red box,bring the green box to the green door,open the green door and go to the green box,find the grey ball and go to it,pick up the grey ball and go to a grey ball
stands at one door,open a grey door,stops at a door,go to a yellow door,stops between red and green,"go to the red box, then go to a green box",stops in front the purple key,go to a purple key,stops infront of the green door,go to the green door,stops infront of the gray circle,go to a purple ball after you go to the purple ball,stops at the red circle,go to the red box and go to a red box,stops in the corner infront the gray key,go to a grey key,goes to the blue doors and stops,go to the blue door,goes thru the door to the yellow key,open the yellow door and go to a yellow key,moves to the yellow circle,go to the yellow ball,stops behind the purple circle,go to the purple ball and go to the purple ball,goes thru the door and stops at the purple key,open a purple door and go to a purple key,goes thru the door towards the green key,go to a green door and pick up a green key,goes thru the door and back passing the yellow key,"go to a yellow key, then open a yellow door and go to a blue door",stop infront of the green door,go to the green door,goes past the green door and stops in front the gray circle,go to the green door and go to a green door
pick up the green ball,go to the green ball,pick up and move the red ball,pick up the red ball,go to the red box,go to the red box,go to the purple key,go to the purple key,move the green box next to the green ball,"go to a green ball, then put a green box next to the green ball",go to the grey ball,go to the grey ball,go to the red ball,go to the red ball,go to the grey key,go to the grey key,pick up the green key,pick up a green key,pick up the yellow box,pick up the yellow box,move the yellow ball up one space north and over one space to the right,go to the yellow door and open the yellow door and go to the red ball,pick up and put down the yellow box,pick up the yellow box,pick up and move the blue ball through the red door,open the red door and pick up the blue ball,pick up the grey box,pick up a grey box,pick up the red box,pick up a red box,pick up the green box,pick up a green box,go through the purple door,go to the purple door
walk to the green ball,go to the green ball,drop the ball next to the yellow box,"go to the yellow ball, then go to the yellow box after you go to a yellow box",go to the red box on the west side,go to the red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go the closest grey ball,go to the grey ball,walk to the red ball,go to the red ball,go to the grey key in the room to the left,"go to a grey key, then go to the grey key",pick up green key and go to blue ball,pick up the green key and go to a blue ball,pick up yellow box in north east corner and go west,go to a yellow box and pick up the red box,move yellow box from in front of yellow door,go to a yellow door and go to the yellow box,go to red door,go to the red door,go to purple ball,go to a purple ball,take grey box to room in south west corner,go to a grey box,pick up red box,pick up a red box,pick up green box in one room south,pick up a green box,go through purple door and stop at white ball,"go to the purple door, then go to a purple ball"
stopping and pointing toward the green circle,"go to the green key, then go to the green key after you go to the green key",dropping off the red ball,pick up the red ball,stopping in front of the red box,go to a red box,stopping at the purple key and beside the yellow ball,go to a yellow ball and go to a purple key,the robot dropped off the green box beside the green ball,go to the green ball and put the green box next to a green ball after you go to the yellow ball,the robot moved next to the red box,go to a red key and put a red ball next to the yellow box,the robot located and stopped beside the red ball,put a red ball next to the yellow box,the robot located and stopped at the grey key,go to the grey door and go to a grey key and put a yellow box next to the grey ball,the robot located and picked up a green key and then stopped between a blue ball and a blue box,"pick up a green key, then go to the blue door and put a yellow box next to the grey ball",the robot picked up the yellow box and then navigated and stopped beside a purple key,"go to the purple ball, then pick up the green key after you go to a yellow door",the robot clears a yellow ball out of the path of a yellow door and stops before the door,go to the yellow key and go to a yellow ball after you open a yellow door,the robot picked up and put back down a yellow box and then stopped between a red door and a purple ball,"pick up a yellow box and go to the purple ball, then go to a red door",the robot clears a blue ball out of the doorway by picking it up and moving it into the other room and then proceeds to go through the green door and stopped beside a purple ball,"pick up the purple ball, then open a green door, then go to a yellow ball",the robot picked up the grey box and carried it until it stopped in the room with two other grey boxes in front of the green key,"pick up the grey box, then go to a green door, then put a grey box next to a green key",the robot moved the blue key in front of the yellow box in the same room and then picked up the red box from another room,"open a blue door, then pick up the red box, then go to the yellow key",the robot picked up the green box,open the green door and pick up the green key and go to a green box,the robot picked up and put back down a red box before navigating to a room and stopping in front of a grey ball,"open a red door and pick up a red box, then go to a grey ball"
went to the green triangle ,go to the green box,picked up the red circle,pick up the red ball,went to the green square,go to the green door,went to the purple key,go to the purple key,picked up the green square and then dropped it in another spot,"go to a green door after you go to the green door, then go to the green door",the robot went to the gray circle,go to a grey door and go to a green ball,the robot went to the red circle,go to the red ball and go to a red ball,the robot went to the gray key,go to the green box and go to a grey door and go to a grey key,the robot picked up the green key and carried it to another room,"open the yellow door, then pick up the green key and go to the green box",the robot picked up the yellow square then took it to another room,"go to the yellow ball, then pick up a yellow ball and go to a yellow door",the robot picked up the yellow circle and moved it out of the way,"open a yellow door and go to the yellow key, then go to a yellow ball",the robot picked up the yellow square and put it back down,go to a yellow door after you go to a yellow key and go to a yellow ball,the robot went down and stopped next to the purple circle,go to the purple ball and go to a purple box after you go to a purple ball,the robot stopped next to the green key,go to a green door and go to the green key and put a green key next to the grey box,the robot picked up the red square and then took it to another room,"go to the green ball and open a yellow door, then go to the red ball",the robot picked up the green square,go to a green ball and open the green door and go to the green ball,the robot went into the room then stopped next to the gray circle,"go to the green box, then go to a grey door"
move to the green dot,go to the green door,take the red ball to the yellow door,go to a yellow door and go to the red ball,go to the red door,go to the red door,find the purple key,go to a purple key,place the green box by the green ball,go to the green ball and go to the green box,move to the gray ball closest to the red box,go to a red door and put the yellow box next to a grey ball,find the red ball,go to the red ball,find the gray key in the room with a red box,go to the red door and pick up a red box and go to a grey key,open the door to the room with two boxes and two balls,"open the yellow door and go to a green box, then go to a blue ball",move the yellow box to the space between the purple key and gray ball,"go to a yellow key, then go to a purple box and go to a yellow ball",find two balls that are next to two doors,go to a yellow door and go to a green door and go to a blue ball,touch the yellow box and then move to the red door ,"pick up the yellow box, then go to a red door",find two balls near two different doors,"go to the yellow door and go to a green door, then go to a blue ball",move the single gray box into the room with two gray boxes and a green key,pick up the grey box and open a green door and put a grey box next to a green key,move the blue key to the yellow box and then take red box to the room with a yellow key and gray ball,"go to a blue ball and go to a yellow key, then put a red box next to a blue door",open the yellow door and then move the green box towards the green door,"open a green door and go to the yellow box, then open the green door",move through two red doors and touch the red box then find the gray ball,"go to the green door and go to a red box, then pick up a yellow ball"
the robot chose the green ball,"go to the green door and go to a green ball, then pick up a yellow ball",the robot placed the red ball on the ground,put a red ball next to the yellow box,the robot stood in front of a red ladder,go to a red door,the robot stood in front of the purple key,go to the purple ball and open the purple door and go to the red key,the robot placed the green box in front of the green circle,go to a green ball and go to a green box and go to a green door,the robot stood in front of the grey circle,go to a grey door and go to a grey ball and go to a grey door,the robot went through a purple door,go to a purple ball and open a purple door and go to a purple ball,the robot stood in front of the grey key,go to the grey door and go to the grey key,the robot went through the green door,go to a green ball and open a green door and go to a green door,the robot entered a purple door,go to the purple ball and go to a yellow ball and open a purple door,the robot placed the yellow ball on the ground,go to a yellow ball and go to the yellow box and go to a yellow box,the robot went to the red door,go to a red door and go to the red door,the robot went through a green door,go to the green door and open a green door and go to a green door,the robot went through the green door and found the green key,"open a green door and pick up the green key, then go to the green box",the robot picked up the red box,open a red door and pick up the red box,the robot picked up the green box,open the green door and pick up the green key and go to a green box,the robot stood found the grey ball,open the grey door and put the yellow box next to a grey ball
navigate to the green ball,go to the green ball,move the red ball to the yellow square,go to the yellow ball and go to a red ball,navigate to the red square,go to the red door,navigate to the purple key,go to the purple key,bring the green box above the green ball,go to the green ball and go to a green box,navigate to the eastern gray ball,open the grey door and go to a green door,navigate to the red ball,go to the red ball,navigate to the northern gray key,go to the grey key,go to the southwestern room between the blue ball and the purple box,go to the purple box and go to a blue ball,bring the yellow box to the most northwestern room,"go to a red box, then open the yellow door",go to the door in southern most room in the middle ,"go to the red door, then go to a blue door",navigate to the space between the purple ball and red door,"go to the red ball, then go to the purple door",navigate to the space on the right side of the purple ball,go to the purple ball and go to the purple ball,bring the northernmost gray box to the southwestern room,open a grey door and go to a blue box,bring the blue key next to the yellow box and pick up the red box,put a blue key next to a yellow box and pick up the red box,pick up the green box in the room to the south,go to a yellow box and pick up a green box and put a green box next to a green door,go to the gray ball,go to a grey ball
travel to the green ball,go to the green ball,travel to the red ball,go to a red ball,travel to the two red squares,go to a red door and go to the green door,travel to the purple key,go to the purple key,move the green squares to above the green ball,go to the green ball,travel to the nearest grey ball next to the yellow ball,"go to the yellow ball, then go to the grey ball",travel to the red ball,go to a red ball,travel to the grey key,go to the grey key,travel to the blue ball above the purple squares,"go to the blue ball, then go to the purple ball",travel to below the purple key and diaganol to the grey ball ,"go to the grey key, then go to the grey key and go to the purple ball",travel to the square where the yellow ball is next to the yellow door ,go to the yellow ball and go to the yellow door,travel to the nearest red door,go to a red door,travel to the square to the right of the purple ball,go to the purple ball and go to the purple ball,travel to the square above the green key,go to a green key,travel to the top right corner of the room with the yellow key,open the yellow door and go to the red key,travel to the square to the right of the square next to the green door ,go to the green box and put the green box next to the green door,travel to the grey ball,go to the grey ball
it moves right to three blocks,go to the red ball,it takes red ball,go to the red ball,it enters left door and didnt take anything,go to a grey door,it moves near to the yellow ball,"go to a yellow ball, then go to a yellow ball",it moves the door,go to a red door and open a blue door,it moves towards the grey ball,"go to the grey ball, then go to a grey ball",it pass through three doors to reach to the red ball,"open a red door, then pick up the red box after you go to the red door",it pass through two doors to reach to the key,"pick up the green key, then go to a blue door",it crosses 7 doors to reach to the key,open a red door after you go to a red key,it takes the door,open a grey door and go to a grey door,it moves the blue ball first and yellow ball at last,"go to a yellow ball, then pick up the yellow ball",it moves the door,go to a red door and open a blue door,it reaches to the blue ball,go to the blue ball,it reaches to the red key and crosses nearly 7 doors,"open the red door, then go to the red key and go to a red key",it moves the red ball first and finally it moves door,"open the red door, then pick up the grey ball after you open the red door",it takes a door,go to a grey door,it moves towards the blue ball,go to a blue ball
